t_s,M,power_w,V_load_worst,V_load_avg
0.159757,3,78.491,0.958587,0.958587
0.159764,3,78.690,0.958370,0.958370
0.159778,3,79.327,0.956750,0.956750
0.159785,3,81.695,0.949747,0.949747
0.159792,3,77.256,0.960687,0.960687
0.159799,3,76.989,0.960850,0.960850
0.159807,3,73.895,0.961291,0.961291
0.159814,3,77.459,0.961159,0.961159
0.160000,3,77.354,0.945856,0.958583
0.160999,3,77.413,0.943719,0.958179
0.162002,3,76.860,0.945003,0.958447
0.163002,3,78.911,0.947252,0.955890
0.164001,3,77.060,0.950641,0.959738
0.165001,3,77.480,0.945263,0.958034
0.166002,3,77.274,0.943657,0.958520
0.167001,4,79.698,0.931266,0.953116
0.180412,4,85.701,0.939139,0.951377
0.180434,4,85.767,0.956964,0.956964
0.180448,4,84.310,0.957140,0.957140
0.180457,4,87.521,0.951265,0.951265
0.180467,4,87.199,0.953311,0.953311
0.180474,4,90.842,0.942050,0.942050
0.180483,4,81.558,0.956960,0.956960
0.180490,4,84.406,0.957127,0.957127
0.180498,4,83.981,0.957304,0.957304
0.180505,4,85.994,0.955343,0.955343
0.180512,4,82.979,0.957497,0.957497
0.180519,4,85.033,0.957410,0.957410
0.180527,4,88.684,0.945520,0.945520
0.180999,4,85.114,0.941053,0.954212
0.181999,4,85.239,0.928375,0.954050
0.185077,4,85.975,0.943088,0.953713
0.185103,4,85.046,0.957285,0.957285
0.185113,4,85.390,0.957289,0.957289
0.186544,4,86.093,0.939571,0.953073
0.187000,4,84.804,0.942691,0.954428
0.188818,4,83.359,0.957400,0.957652
0.188995,4,84.948,0.932957,0.953234
0.199973,4,84.410,0.938850,0.953874
0.199996,4,87.805,0.946541,0.946541
0.200010,4,83.698,0.957616,0.957616
0.200019,4,85.755,0.954398,0.954398
0.200028,4,90.286,0.940169,0.940169
0.200036,4,80.943,0.957494,0.957494
0.200044,4,84.928,0.957502,0.957502
0.200051,4,84.798,0.957522,0.957522
0.200058,4,91.376,0.936590,0.936590
0.200065,4,83.104,0.957194,0.957194
0.200072,4,86.926,0.952910,0.952910
0.201000,4,85.447,0.934934,0.953951
0.202002,4,85.591,0.938353,0.953877
0.203002,4,86.029,0.937252,0.952977
0.204001,4,85.935,0.938975,0.954397
0.205002,4,84.683,0.943321,0.954508
0.206001,4,85.805,0.940563,0.953379
0.207001,4,85.941,0.942157,0.953590
0.208001,4,85.406,0.939907,0.954087
0.228785,4,85.652,0.949247,0.955051
0.228809,4,83.729,0.957389,0.957389
0.228825,4,85.866,0.955288,0.955288
0.228834,4,84.175,0.957442,0.957442
0.228844,4,83.752,0.957579,0.957579
0.228851,4,80.822,0.957981,0.957981
0.228867,4,85.934,0.951799,0.951799
0.228875,4,83.669,0.957866,0.957866
0.228883,4,82.346,0.958058,0.958058
0.228890,4,86.602,0.949195,0.949195
0.228898,4,83.108,0.957918,0.957918
0.228905,4,83.067,0.958028,0.958028
0.228913,4,86.402,0.950014,0.950014
0.228920,4,87.644,0.947321,0.947321
0.228928,4,87.821,0.948514,0.948514
0.228935,4,80.839,0.957666,0.957666
0.228942,4,85.613,0.954588,0.954588
0.228949,4,83.536,0.957703,0.957703
0.228957,4,83.874,0.957775,0.957775
0.228964,4,86.619,0.950699,0.950699
0.228997,4,85.930,0.939314,0.952858
0.229997,4,84.930,0.936430,0.954306
0.230997,4,85.242,0.937232,0.954032
0.232002,4,85.382,0.940679,0.954260
0.233001,4,85.742,0.939250,0.954209
0.234001,5,89.862,0.930291,0.948589
0.235001,5,93.373,0.938522,0.949555
0.236002,5,93.309,0.931670,0.949086
0.237001,5,92.237,0.937796,0.950505
0.243855,5,94.157,0.937768,0.949068
0.243878,5,96.166,0.946855,0.946855
0.243892,5,92.824,0.952838,0.952838
0.243900,5,94.797,0.951298,0.951298
0.243910,5,95.977,0.947709,0.947709
0.243917,5,95.333,0.950670,0.950670
0.243999,5,93.953,0.939966,0.948840
0.246686,5,93.091,0.929048,0.949753
0.246708,5,92.848,0.953404,0.953404
0.247001,5,94.215,0.928575,0.948688
0.248897,5,93.743,0.946466,0.951448
0.248997,5,92.260,0.947056,0.952593
0.249998,5,93.476,0.935983,0.949638
0.252249,5,94.298,0.926663,0.948691
0.252274,5,94.483,0.950487,0.950487
0.253002,5,93.011,0.932791,0.950104
0.254001,5,93.188,0.934003,0.950094
0.255002,5,93.148,0.934617,0.949182
0.256001,5,93.144,0.935990,0.947543
0.257002,5,93.527,0.931921,0.949930
0.268400,5,93.898,0.934297,0.948435
0.268423,5,94.237,0.952735,0.952735
0.268437,5,94.742,0.952042,0.952042
0.268446,5,91.272,0.953044,0.953044
0.268456,5,94.552,0.950958,0.950958
0.268464,5,93.647,0.953019,0.953019
0.268479,5,89.391,0.953476,0.953476
0.268486,5,94.600,0.948415,0.948415
0.268495,5,93.871,0.951647,0.951647
0.268502,5,92.160,0.953400,0.953400
0.268509,5,93.201,0.953397,0.953397
0.268996,5,93.555,0.928408,0.950123
0.270468,5,92.985,0.927159,0.949916
0.271001,5,93.141,0.938262,0.950006
0.272692,5,87.771,0.954093,0.954093
0.273001,5,93.651,0.931767,0.949486
0.276565,5,94.298,0.945585,0.950225
0.276590,5,94.921,0.950202,0.950202
0.276600,5,93.179,0.952985,0.952985
0.276998,5,93.570,0.930239,0.949371
0.282073,5,93.878,0.933529,0.948981
0.282090,5,94.913,0.946700,0.946700
0.282100,5,94.888,0.947950,0.947950
0.282109,5,95.121,0.948110,0.948110
0.282117,5,89.597,0.953494,0.953494
0.283001,5,93.369,0.935792,0.949761
0.284001,5,93.738,0.932251,0.947834
0.285002,5,93.149,0.938053,0.949784
0.286001,5,93.735,0.928315,0.948628
0.287001,5,94.732,0.928615,0.948550
0.300939,6,93.129,0.944893,0.951401
0.300965,6,103.153,0.919739,0.919739
0.300976,6,104.518,0.921025,0.921025
0.300986,6,100.848,0.938334,0.938334
0.300995,6,98.110,0.949511,0.949511
0.301003,6,100.619,0.941617,0.941617
0.301010,6,101.471,0.940453,0.940453
0.301025,6,101.480,0.942186,0.942186
0.301032,6,106.546,0.927082,0.927082
0.301040,6,97.316,0.949927,0.949927
0.301047,6,103.090,0.940327,0.940327
0.301055,6,101.641,0.946675,0.946675
0.301062,6,104.160,0.938965,0.938965
0.301069,6,98.951,0.949479,0.949479
0.301998,6,101.548,0.924574,0.945787
0.303001,6,101.489,0.925215,0.945472
0.304001,6,100.141,0.934847,0.946330
0.305001,6,101.459,0.931554,0.946020
0.306002,6,103.237,0.922132,0.943712
0.307002,6,102.077,0.936894,0.946212
0.308001,6,102.631,0.934700,0.944313
0.325444,6,101.225,0.933293,0.945530
0.325468,6,103.572,0.943453,0.943453
0.325483,6,100.105,0.949112,0.949112
0.325492,6,96.987,0.949591,0.949591
0.325501,6,101.922,0.945990,0.945990
0.325509,6,101.621,0.947581,0.947581
0.325516,6,99.158,0.949622,0.949622
0.325523,6,96.304,0.950067,0.950067
0.325531,6,98.853,0.950169,0.950169
0.325538,6,106.249,0.928693,0.928693
0.325545,6,103.763,0.940436,0.940436
0.325561,6,99.870,0.949398,0.949398
0.325569,6,96.397,0.949879,0.949879
0.325576,6,105.039,0.934237,0.934237
0.325584,6,98.448,0.949675,0.949675
0.325591,6,100.826,0.949104,0.949104
0.325598,6,100.370,0.949689,0.949689
0.325995,6,101.988,0.926758,0.945511
0.327000,6,101.379,0.924281,0.945721
0.328001,6,101.327,0.928581,0.945535
0.329001,6,101.518,0.925222,0.944794
0.330001,6,99.951,0.930281,0.947203
0.331001,6,101.032,0.933539,0.945738
0.332001,6,101.368,0.927124,0.943638
0.333001,6,101.308,0.928356,0.946042
0.343531,6,102.184,0.923785,0.944792
0.343555,6,101.930,0.948920,0.948920
0.343568,6,104.831,0.940210,0.940210
0.343577,6,104.140,0.943938,0.943938
0.343586,6,101.850,0.948622,0.948622
0.343594,6,102.683,0.948629,0.948629
0.343603,6,104.065,0.944317,0.944317
0.343610,6,105.385,0.940741,0.940741
0.343618,6,103.019,0.948305,0.948305
0.343625,6,99.550,0.948689,0.948689
0.343996,6,101.372,0.923301,0.945003
0.346163,6,101.619,0.925096,0.945158
0.346184,6,100.500,0.948845,0.948845
0.347280,6,101.019,0.932748,0.946414
0.349545,6,101.672,0.928506,0.945063
0.349569,6,101.052,0.948860,0.948860
0.350002,6,101.938,0.934225,0.945662
0.351776,6,98.655,0.945123,0.947477
0.351998,6,101.174,0.931398,0.945175
0.354029,6,102.501,0.930410,0.944458
0.354057,6,101.440,0.948916,0.948916
0.363466,6,101.559,0.923868,0.945206
0.363489,6,101.044,0.949233,0.949233
0.363503,6,104.107,0.940845,0.940845
0.363511,6,100.863,0.949094,0.949094
0.363520,6,108.200,0.928263,0.928263
0.363528,6,102.465,0.948518,0.948518
0.363536,6,106.536,0.936873,0.936873
0.363543,6,105.291,0.942902,0.942902
0.363551,6,101.903,0.948209,0.948209
0.364000,6,101.595,0.928022,0.945953
0.365002,6,101.048,0.926263,0.945837
0.366002,6,101.190,0.930539,0.945133
0.367001,7,103.365,0.909052,0.941880
0.368002,7,109.599,0.931517,0.941337
0.369002,7,109.164,0.925067,0.942321
0.370002,7,109.958,0.925862,0.939603
0.382068,7,109.002,0.932119,0.943117
0.382091,7,108.701,0.944911,0.944911
0.382104,7,107.141,0.945891,0.945891
0.382113,7,104.493,0.946264,0.946264
0.382122,7,112.477,0.929944,0.929944
0.382138,7,109.942,0.940975,0.940975
0.382147,7,110.620,0.939574,0.939574
0.382154,7,111.394,0.938075,0.938075
0.382162,7,103.868,0.945778,0.945778
0.382168,7,111.894,0.934531,0.934531
0.382176,7,114.498,0.927943,0.927943
0.382183,7,110.193,0.944898,0.944898
0.382999,7,109.661,0.919363,0.940803
0.384001,7,109.928,0.914276,0.941083
0.385001,7,109.698,0.928584,0.941622
0.386001,7,109.043,0.933983,0.942270
0.387002,7,109.063,0.927351,0.941775
0.401266,7,108.031,0.937017,0.943423
0.401289,7,107.152,0.946223,0.946223
0.401310,7,110.900,0.935311,0.935311
0.401319,7,110.655,0.937959,0.937959
0.401328,7,106.227,0.945893,0.945893
0.401335,7,108.887,0.943695,0.943695
0.401344,7,110.994,0.937199,0.937199
0.401351,7,108.211,0.945628,0.945628
0.401358,7,114.141,0.928029,0.928029
0.401365,7,111.101,0.940923,0.940923
0.401373,7,109.620,0.945006,0.945006
0.401380,7,111.782,0.939152,0.939152
0.401391,7,106.484,0.945213,0.945213
0.401398,7,107.706,0.945400,0.945400
0.401999,7,109.427,0.925320,0.941220
0.402996,7,109.840,0.919013,0.941304
0.404001,7,108.735,0.910528,0.941279
0.405001,7,110.313,0.927125,0.940459
0.406001,7,110.449,0.926132,0.941481
0.407002,7,109.345,0.926686,0.941250
0.408001,7,109.877,0.930240,0.940476
0.408751,7,109.717,0.930964,0.942237
0.415397,7,109.180,0.932166,0.940978
0.415423,7,113.895,0.932240,0.932240
0.415438,7,110.216,0.944673,0.944673
0.415448,7,110.318,0.944707,0.944707
0.415459,7,103.050,0.945461,0.945461
0.415468,7,110.037,0.942336,0.942336
0.415999,7,109.236,0.921149,0.941061
0.421234,7,109.737,0.912231,0.940957
0.421247,7,107.478,0.944754,0.944754
0.421258,7,107.187,0.945084,0.945084
0.421265,7,108.494,0.945218,0.945218
0.421274,7,107.041,0.945470,0.945470
0.422001,7,109.129,0.920712,0.941398
0.423001,7,109.070,0.928366,0.941213
0.424002,7,108.502,0.923128,0.941066
0.425001,7,109.922,0.930894,0.940719
0.426002,7,109.009,0.924462,0.940190
0.434392,8,109.876,0.928429,0.941885
0.434415,8,117.335,0.919794,0.919794
0.434429,8,109.958,0.944567,0.944567
0.434438,8,112.071,0.940638,0.940638
0.434447,8,115.095,0.931443,0.931443
0.434455,8,121.328,0.913321,0.913321
0.434463,8,122.716,0.913997,0.913997
0.434470,8,118.221,0.933586,0.933586
0.434996,8,117.387,0.916128,0.936870
0.436186,8,117.266,0.914813,0.937447
0.447422,8,116.787,0.917988,0.937413
0.447448,8,118.574,0.938503,0.938503
0.447459,8,113.997,0.941427,0.941427
0.447469,8,116.565,0.941485,0.941485
0.447477,8,121.231,0.927786,0.927786
0.447486,8,118.555,0.938831,0.938831
0.447493,8,118.019,0.940961,0.940961
0.447501,8,113.523,0.941444,0.941444
0.447507,8,117.467,0.940286,0.940286
0.447515,8,115.070,0.941620,0.941620
0.447522,8,112.907,0.942005,0.942005
0.447999,8,118.007,0.916238,0.936989
0.449002,8,117.269,0.913947,0.937417
0.450001,8,116.991,0.922100,0.936704
0.451001,8,118.086,0.916983,0.936982
0.452001,8,118.234,0.927186,0.936484
0.454483,8,118.048,0.927324,0.937586
0.454511,8,118.664,0.936359,0.936359
0.455002,8,117.056,0.922525,0.937656
0.461281,8,113.000,0.941627,0.941627
0.461305,8,118.535,0.935796,0.935796
0.461315,8,114.959,0.941662,0.941662
0.461332,8,116.997,0.940613,0.940613
0.461344,8,116.487,0.941656,0.941656
0.461353,8,118.982,0.934177,0.934177
0.462000,8,117.825,0.913330,0.937029
0.463002,8,117.742,0.921716,0.937354
0.464001,8,116.411,0.926670,0.937749
0.465001,8,117.545,0.919663,0.935873
0.466002,8,117.010,0.917783,0.937768
0.467001,8,118.462,0.924067,0.936950
0.468447,8,117.571,0.922860,0.937618
