t_s,M,power_w,V_load_worst,V_load_avg
0.157397,3,82.161,0.952192,0.952192
0.157406,3,77.777,0.960138,0.960138
0.157416,3,81.530,0.954250,0.954250
0.157423,3,79.954,0.959970,0.959970
0.157431,3,78.605,0.960116,0.960116
0.157438,3,81.473,0.954557,0.954557
0.157996,3,80.948,0.948580,0.957144
0.159001,3,80.199,0.946457,0.957804
0.160068,3,81.002,0.948651,0.956906
0.161002,3,79.821,0.948467,0.957939
0.162002,3,80.762,0.947423,0.956665
0.163000,3,81.769,0.949115,0.955614
0.164001,3,80.376,0.951665,0.958509
0.165002,3,80.692,0.947618,0.957227
0.185682,4,80.711,0.946410,0.957494
0.185706,4,90.865,0.925932,0.925932
0.185722,4,86.398,0.946224,0.946224
0.185731,4,90.666,0.934423,0.934423
0.185741,4,88.892,0.944256,0.944256
0.185749,4,88.752,0.946974,0.946974
0.185758,4,85.129,0.956989,0.956989
0.185765,4,87.688,0.951556,0.951556
0.185774,4,85.655,0.956893,0.956893
0.185781,4,89.548,0.946023,0.946023
0.185789,4,87.483,0.954597,0.954597
0.185796,4,88.482,0.951674,0.951674
0.185804,4,90.838,0.944807,0.944807
0.185811,4,93.083,0.939442,0.939442
0.185819,4,89.524,0.953850,0.953850
0.185826,4,89.282,0.954916,0.954916
0.185833,4,87.931,0.955545,0.955545
0.185840,4,89.623,0.953218,0.953218
0.185848,4,87.307,0.955648,0.955648
0.185855,4,87.121,0.955807,0.955807
0.185997,4,89.176,0.942263,0.951650
0.186998,4,88.620,0.942932,0.953257
0.187999,4,89.320,0.933103,0.952529
0.189001,4,88.671,0.936655,0.952778
0.190001,4,88.593,0.939471,0.952579
0.191001,4,89.042,0.940216,0.952622
0.192001,4,88.923,0.940626,0.953351
0.197230,4,89.372,0.942798,0.952598
0.197244,4,87.568,0.955747,0.955747
0.197255,4,91.518,0.945924,0.945924
0.197263,4,87.461,0.955611,0.955611
0.197272,4,89.269,0.954011,0.954011
0.198001,4,88.955,0.938187,0.952944
0.199001,4,89.045,0.944861,0.953288
0.200002,4,89.678,0.944556,0.951996
0.201001,4,89.512,0.940838,0.952745
0.202001,4,88.095,0.943663,0.953313
0.203002,4,89.432,0.939985,0.952177
0.210291,4,89.494,0.941321,0.953014
0.210314,4,87.394,0.955398,0.955398
0.210328,4,88.660,0.955453,0.955453
0.210337,4,90.830,0.949794,0.949794
0.210346,4,90.449,0.951997,0.951997
0.210354,4,88.270,0.955316,0.955316
0.210362,4,88.659,0.955387,0.955387
0.210830,4,89.025,0.942043,0.952828
0.223268,4,88.664,0.941584,0.953651
0.223294,4,86.883,0.956188,0.956188
0.223305,4,90.546,0.946660,0.946660
0.223315,4,86.070,0.956110,0.956110
0.223323,4,91.447,0.944154,0.944154
0.223332,4,89.455,0.952676,0.952676
0.223340,4,87.549,0.955764,0.955764
0.223348,4,89.725,0.951676,0.951676
0.223412,4,89.666,0.952560,0.952560
0.223421,4,89.519,0.953562,0.953562
0.223428,4,89.701,0.953304,0.953304
0.223436,4,90.090,0.952405,0.952405
0.223996,4,88.590,0.939347,0.952805
0.225001,4,88.731,0.939969,0.953153
0.226001,4,88.632,0.946248,0.953499
0.227001,4,89.154,0.944945,0.953032
0.228002,4,87.896,0.948840,0.954367
0.229001,4,88.796,0.946138,0.952655
0.244333,5,87.797,0.946070,0.954076
0.244358,5,97.283,0.926405,0.926405
0.244372,5,100.904,0.919588,0.919588
0.244381,5,96.872,0.938728,0.938728
0.244392,5,96.715,0.941806,0.941806
0.244400,5,95.218,0.948657,0.948657
0.244408,5,99.276,0.936170,0.936170
0.244416,5,101.002,0.933380,0.933380
0.244424,5,100.645,0.937767,0.937767
0.244431,5,98.590,0.946851,0.946851
0.244439,5,99.831,0.943577,0.943577
0.244446,5,98.731,0.948464,0.948464
0.244454,5,97.914,0.950968,0.950968
0.244461,5,99.453,0.946440,0.946440
0.244469,5,100.110,0.945064,0.945064
0.245000,5,97.399,0.934973,0.948823
0.245998,5,97.079,0.932080,0.948577
0.247002,5,97.605,0.931704,0.947872
0.248002,5,97.138,0.940711,0.949450
0.249001,5,97.185,0.937597,0.948846
0.250001,5,97.500,0.930183,0.947559
0.257456,5,97.553,0.944791,0.949492
0.257478,5,98.048,0.947387,0.947387
0.257492,5,96.727,0.951524,0.951524
0.257500,5,99.071,0.944614,0.944614
0.257510,5,97.093,0.951340,0.951340
0.257518,5,99.193,0.945231,0.945231
0.257526,5,97.610,0.951161,0.951161
0.257994,5,96.958,0.935058,0.948597
0.259001,5,97.143,0.934366,0.948440
0.263299,5,97.100,0.934622,0.948555
0.263325,5,96.987,0.951488,0.951488
0.263335,5,97.794,0.948978,0.948978
0.263346,5,97.637,0.949913,0.949913
0.264002,5,97.161,0.931571,0.948661
0.265001,5,96.582,0.937050,0.948401
0.266001,5,96.885,0.930578,0.948516
0.267002,5,97.431,0.939715,0.948849
0.268001,5,97.209,0.937230,0.948175
0.277535,5,97.032,0.940221,0.949060
0.277559,5,96.635,0.950686,0.950686
0.277574,5,99.282,0.942255,0.942255
0.277582,5,96.970,0.951414,0.951414
0.277592,5,96.442,0.951580,0.951580
0.277600,5,95.589,0.951705,0.951705
0.277610,5,97.499,0.948742,0.948742
